iteration,RMP_value
1,1480.0
2,1420.0
3,1360.0
4,1220.0
5,1120.0
6,1060.0
7,1000.0
8,935.0
9,870.0
10,870.0
11,870.0
12,830.0
13,830.0
14,830.0
15,830.0
16,830.0
17,820.0
18,790.0
19,790.0
20,790.0
21,790.0
22,790.0
23,790.0
24,785.0
25,773.6363636363637
26,760.0
27,730.0
28,730.0
29,730.0
30,730.0
31,730.0
32,730.0
33,730.0
34,720.0
35,720.0
36,720.0
37,716.0
38,706.6666666666667
39,706.6666666666667
40,704.0
41,702.0
42,680.0
43,680.0
44,680.0
45,670.0
46,670.0
47,670.0
48,670.0
49,670.0
50,670.0
51,670.0
52,670.0
53,670.0
54,670.0
55,670.0
56,670.0
57,670.0
58,670.0
59,670.0
60,670.0
61,670.0
62,670.0
63,670.0
64,670.0
65,670.0
66,670.0
67,670.0
68,670.0
69,670.0
70,670.0
71,670.0
