ID	Origin	destination	SP_time
1	1	2	6
2	1	3	4
3	1	4	8
4	1	5	10
5	1	6	11
6	1	7	16
7	1	8	13
8	1	9	15
9	1	10	18
10	1	11	14
11	1	12	8
12	1	13	11
13	1	14	18
14	1	15	23
15	1	16	18
16	1	17	20
17	1	18	18
18	1	19	22
19	1	20	22
20	1	21	18
21	1	22	20
22	1	23	17
23	1	24	15
24	2	1	6
25	2	3	10
26	2	4	11
27	2	5	9
28	2	6	5
29	2	7	10
30	2	8	7
31	2	9	14
32	2	10	16
33	2	11	17
34	2	12	14
35	2	13	17
36	2	14	21
37	2	15	19
38	2	16	12
39	2	17	14
40	2	18	12
41	2	19	16
42	2	20	16
43	2	21	22
44	2	22	21
45	2	23	23
46	2	24	21
47	3	1	4
48	3	2	10
49	3	4	4
50	3	5	6
51	3	6	10
52	3	7	15
53	3	8	12
54	3	9	11
55	3	10	14
56	3	11	10
57	3	12	4
58	3	13	7
59	3	14	14
60	3	15	19
61	3	16	17
62	3	17	19
63	3	18	17
64	3	19	21
65	3	20	20
66	3	21	14
67	3	22	16
68	3	23	13
69	3	24	11
70	4	1	8
71	4	2	11
72	4	3	4
73	4	5	2
74	4	6	6
75	4	7	11
76	4	8	8
77	4	9	7
78	4	10	10
79	4	11	6
80	4	12	8
81	4	13	11
82	4	14	10
83	4	15	15
84	4	16	13
85	4	17	15
86	4	18	13
87	4	19	17
88	4	20	17
89	4	21	18
90	4	22	18
91	4	23	14
92	4	24	15
93	5	1	10
94	5	2	9
95	5	3	6
96	5	4	2
97	5	6	4
98	5	7	9
99	5	8	6
100	5	9	5
101	5	10	8
102	5	11	8
103	5	12	10
104	5	13	13
105	5	14	12
106	5	15	14
107	5	16	11
108	5	17	13
109	5	18	11
110	5	19	15
111	5	20	15
112	5	21	19
113	5	22	17
114	5	23	16
115	5	24	17
116	6	1	11
117	6	2	5
118	6	3	10
119	6	4	6
120	6	5	4
121	6	7	5
122	6	8	2
123	6	9	9
124	6	10	11
125	6	11	12
126	6	12	14
127	6	13	17
128	6	14	16
129	6	15	14
130	6	16	7
131	6	17	9
132	6	18	7
133	6	19	11
134	6	20	11
135	6	21	17
136	6	22	16
137	6	23	20
138	6	24	20
139	7	1	16
140	7	2	10
141	7	3	15
142	7	4	11
143	7	5	9
144	7	6	5
145	7	8	3
146	7	9	12
147	7	10	9
148	7	11	14
149	7	12	19
150	7	13	19
151	7	14	17
152	7	15	12
153	7	16	5
154	7	17	7
155	7	18	2
156	7	19	9
157	7	20	6
158	7	21	12
159	7	22	11
160	7	23	15
161	7	24	15
162	8	1	13
163	8	2	7
164	8	3	12
165	8	4	8
166	8	5	6
167	8	6	2
168	8	7	3
169	8	9	10
170	8	10	9
171	8	11	14
172	8	12	16
173	8	13	19
174	8	14	17
175	8	15	12
176	8	16	5
177	8	17	7
178	8	18	5
179	8	19	9
180	8	20	9
181	8	21	15
182	8	22	14
183	8	23	18
184	8	24	18
185	9	1	15
186	9	2	14
187	9	3	11
188	9	4	7
189	9	5	5
190	9	6	9
191	9	7	12
192	9	8	10
193	9	10	3
194	9	11	8
195	9	12	14
196	9	13	17
197	9	14	12
198	9	15	9
199	9	16	7
200	9	17	9
201	9	18	10
202	9	19	11
203	9	20	14
204	9	21	14
205	9	22	12
206	9	23	16
207	9	24	17
208	10	1	18
209	10	2	16
210	10	3	14
211	10	4	10
212	10	5	8
213	10	6	11
214	10	7	9
215	10	8	9
216	10	9	3
217	10	11	5
218	10	12	11
219	10	13	14
220	10	14	9
221	10	15	6
222	10	16	4
223	10	17	6
224	10	18	7
225	10	19	8
226	10	20	11
227	10	21	11
228	10	22	9
229	10	23	13
230	10	24	14
231	11	1	14
232	11	2	17
233	11	3	10
234	11	4	6
235	11	5	8
236	11	6	12
237	11	7	14
238	11	8	14
239	11	9	8
240	11	10	5
241	11	12	6
242	11	13	9
243	11	14	4
244	11	15	9
245	11	16	9
246	11	17	11
247	11	18	12
248	11	19	12
249	11	20	16
250	11	21	13
251	11	22	12
252	11	23	8
253	11	24	10
254	12	1	8
255	12	2	14
256	12	3	4
257	12	4	8
258	12	5	10
259	12	6	14
260	12	7	19
261	12	8	16
262	12	9	14
263	12	10	11
264	12	11	6
265	12	13	3
266	12	14	10
267	12	15	15
268	12	16	15
269	12	17	17
270	12	18	18
271	12	19	18
272	12	20	16
273	12	21	10
274	12	22	12
275	12	23	9
276	12	24	7
277	13	1	11
278	13	2	17
279	13	3	7
280	13	4	11
281	13	5	13
282	13	6	17
283	13	7	19
284	13	8	19
285	13	9	17
286	13	10	14
287	13	11	9
288	13	12	3
289	13	14	10
290	13	15	12
291	13	16	18
292	13	17	17
293	13	18	17
294	13	19	15
295	13	20	13
296	13	21	7
297	13	22	9
298	13	23	6
299	13	24	4
300	14	1	18
