iteration,RMP_value
1,1930.0
2,1755.0
3,1455.0
4,1295.0
5,1190.0
6,1156.6666666666667
7,1110.0
8,1070.0
9,1060.0
10,1000.0
11,991.111111111111
12,890.0
13,880.0
14,880.0
15,865.0
16,844.0
17,815.151515151515
18,800.8333333333336
19,777.5
20,770.0
21,770.0
22,765.0
23,762.5
24,762.0
25,754.1666666666666
26,746.25
27,733.3333333333334
28,723.9999999999999
29,723.3333333333335
30,718.3333333333335
31,715.0000000000001
32,715.0000000000001
33,713.5714285714284
34,712.5
35,705.0
36,705.0
37,705.0
38,705.0
39,705.0
40,705.0
41,705.0
42,705.0
43,705.0
44,705.0
45,705.0
46,705.0
47,705.0
