iteration,RMP_value
1,2370.0
2,2110.0
3,1840.0
4,1720.0
5,1570.0
6,1555.0
7,1486.6666666666667
8,1365.0
9,1335.0
10,1280.0
11,1260.0
12,1250.0
13,1205.0
14,1196.6666666666667
15,1175.0
16,1150.0
17,1150.0
18,1120.0
19,1080.0
20,1080.0
21,1075.0
22,1060.0
23,1055.0
24,1040.0
25,1030.0
26,1030.0
27,1026.6666666666667
28,1020.0
29,1020.0
30,1020.0
31,1020.0
32,1020.0
33,1020.0
34,1020.0
35,1020.0
36,1020.0
37,1020.0
38,1020.0
39,1019.0
40,1017.5
41,1017.5
42,1017.5
43,1017.5
44,1016.6666666666665
45,1016.6666666666666
46,1016.6666666666666
47,1016.6666666666666
48,1016.6666666666666
49,1016.6666666666666
50,1016.6666666666666
51,1016.6666666666666
52,1016.6666666666665
53,1016.6666666666665
