iteration,RMP_value
1,1450.0
2,1275.0
3,1075.0
4,990.0
5,930.0
6,875.0
7,850.0
8,780.0
9,766.6666666666667
10,742.5
11,721.6176470588235
12,695.25
13,673.3333333333333
14,636.6666666666666
15,618.6363636363635
16,609.5299145299147
17,593.5294117647057
18,586.5
19,581.4285714285713
20,577.5
21,572.5
22,572.5
23,569.5454545454546
24,569.4117647058823
25,568.5714285714283
26,566.5625
27,560.0
28,560.0
29,560.0
30,560.0
31,560.0
32,560.0
33,560.0
34,557.2222222222222
35,557.2222222222222
36,555.625
37,555.2083333333334
38,552.5
39,552.5
40,552.5
41,552.5
42,552.5
43,552.5
44,552.5
45,552.5
46,552.5
47,552.5
48,552.5
49,552.5
50,552.5
51,552.5
52,552.5
53,552.4999999999999
54,552.5
55,552.5
56,552.5
57,552.5
58,552.5
59,552.5
60,552.5
