iteration,RMP_value
1,1370.0
2,1270.0
3,1040.0
4,1005.0
5,875.0
6,770.0
7,755.0
8,713.3333333333333
9,662.5
10,633.5
11,585.0000000000001
12,570.0
13,540.0
14,510.0
15,508.9473684210527
16,483.3333333333333
17,465.0
18,440.0
19,396.6666666666667
20,370.0
21,370.0
22,370.0
23,370.0
24,370.0
25,366.6666666666667
26,365.00000000000006
27,360.0
28,360.0
29,358.33333333333337
30,350.0
31,348.75
32,347.5
33,347.5
34,347.5
35,347.5
36,347.5
37,347.5
38,347.5
39,345.0
40,345.0
41,345.0
42,345.0
43,344.28571428571433
44,340.0
45,340.0
46,340.0
47,340.0
