iteration,RMP_value
1,2050.0
2,1880.0
3,1590.0
4,1475.0
5,1375.0
6,1303.3333333333335
7,1245.0
8,1235.0
9,1210.0
10,1195.0
11,1183.3333333333333
12,1178.3333333333333
13,1172.7083333333333
14,1170.3333333333333
15,1170.1515151515148
16,1167.0
17,1166.0
18,1162.3333333333335
19,1162.3333333333335
20,1162.3333333333335
21,1161.1904761904761
22,1159.1025641025642
23,1158.3333333333335
24,1158.3333333333335
25,1158.3333333333335
26,1158.3333333333335
27,1158.3333333333335
28,1156.6666666666667
29,1156.6666666666665
30,1156.6666666666665
31,1156.6666666666665
32,1155.0
33,1155.0
34,1155.0
35,1153.3333333333335
36,1153.3333333333335
37,1153.3333333333335
38,1153.3333333333335
39,1153.3333333333335
40,1153.3333333333335
41,1153.3333333333335
42,1153.3333333333335
