iteration,RMP_value
1,1840.0
2,1770.0
3,1590.0
4,1420.0
5,1310.0
6,1235.0
7,1050.0
8,1030.0
9,1015.0
10,970.0
11,960.0
12,940.0
13,935.0
14,895.0
15,895.0
16,875.0
17,870.0
18,863.3333333333333
19,840.0
20,825.0
21,825.0
22,823.3333333333334
23,820.0
24,820.0
25,813.3333333333334
26,810.0
27,805.0
28,790.0
29,790.0
30,790.0
31,790.0
32,790.0
33,786.6666666666666
34,786.6666666666667
35,786.6666666666667
36,786.6666666666667
37,780.0
38,780.0
39,780.0
40,780.0
41,780.0
42,780.0
43,780.0
44,780.0
45,780.0
46,780.0
47,780.0
48,780.0
49,780.0
50,780.0
51,780.0
52,780.0
53,780.0
54,780.0
55,780.0
56,780.0
57,780.0
58,780.0
59,780.0
